id_municipio,municipio_nome,pj_id,ar_id
3553104,Taiaçu,jaboticabal,ribeirao preto
3553203,Taiúva,jaboticabal,ribeirao preto
3553302,Tambaú,tambau,ribeirao preto
3553401,Tanabi,tanabi,sao jose do rio preto
3553500,Tapiraí,piedade,sorocaba
3553609,Tapiratiba,caconde,ribeirao preto
3553658,Taquaral,pitangueiras,ribeirao preto
3553708,Taquaritinga,taquaritinga,ribeirao preto
3553807,Taquarituba,taquarituba,sorocaba
3553856,Taquarivaí,itapeva,sorocaba
3553906,Tarabai,pirapozinho,presidente prudente
3553955,Tarumã,assis,presidente prudente
3554003,Tatuí,tatui,sorocaba
3554102,Taubaté,taubate,taubate
3554201,Tejupá,piraju,bauru
3554300,Teodoro Sampaio,teodoro sampaio,presidente prudente
3554409,Terra Roxa,viradouro,ribeirao preto
3554508,Tietê,tiete,sorocaba
3554607,Timburi,piraju,bauru
3554656,Torre de Pedra,porangaba,sorocaba
3554706,Torrinha,brotas,piracicaba
3554755,Trabiju,ribeirao bonito,ribeirao preto
3554805,Tremembé,tremembe,taubate
3554904,Três Fronteiras,santa fe do sul,sao jose do rio preto
3554953,Tuiuti,braganca paulista,campinas
3555000,Tupã,tupa,presidente prudente
3555109,Tupi Paulista,tupi paulista,presidente prudente
3555208,Turiúba,buritama,aracatuba
3555307,Turmalina,estrela doeste,sao jose do rio preto
3555356,Ubarana,jose bonifacio,sao jose do rio preto
3555406,Ubatuba,ubatuba,taubate
3555505,Ubirajara,duartina,bauru
3555604,Uchoa,sao jose do rio preto,sao jose do rio preto
3555703,União Paulista,macaubal,sao jose do rio preto
3555802,Urânia,urania,sao jose do rio preto
3555901,Uru,pirajui,bauru
3556008,Urupês,urupes,sao jose do rio preto
3556107,Valentim Gentil,votuporanga,sao jose do rio preto
3556206,Valinhos,valinhos,campinas
3556305,Valparaíso,valparaiso,aracatuba
3556354,Vargem,braganca paulista,campinas
3556404,Vargem Grande do Sul,vargem grande do sul,campinas
3556453,Vargem Grande Paulista,vargem grande paulista,grande sao paulo
3556503,Várzea Paulista,varzea paulista,campinas
3556602,Vera Cruz,marilia,bauru
3556701,Vinhedo,vinhedo,campinas
3556800,Viradouro,viradouro,ribeirao preto
3556909,Vista Alegre do Alto,pirangi,ribeirao preto
3556958,Vitória Brasil,jales,sao jose do rio preto
3557006,Votorantim,votorantim,sorocaba
3557105,Votuporanga,votuporanga,sao jose do rio preto
3557154,Zacarias,buritama,aracatuba
